bond,angle,spline
0.907537688442211,107.63819095477388,-200.11434211738677
0.907537688442211,108.09045226130654,-200.1188185014908
0.907537688442211,108.5427135678392,-200.12340487210912
0.907537688442211,108.99497487437186,-200.12810874258875
0.907537688442211,109.44723618090453,-200.13293762627674
0.907537688442211,109.89949748743719,-200.1378990365203
0.907537688442211,110.35175879396985,-200.14299876356193
0.907537688442211,110.80402010050251,-200.14822891328055
0.907537688442211,111.25628140703517,-200.15357506586207
0.907537688442211,111.70854271356784,-200.15902276130308
0.907537688442211,112.1608040201005,-200.16455753960042
0.907537688442211,112.61306532663316,-200.1701649407508
0.907537688442211,113.06532663316582,-200.17583050475105
0.907537688442211,113.5175879396985,-200.18153977159764
0.907537688442211,113.96984924623115,-200.18727828128763
0.907537688442211,114.42211055276383,-200.19303157381762
0.907537688442211,114.87437185929649,-200.1987851891843
0.907537688442211,115.32663316582915,-200.20452466738456
0.907537688442211,115.77889447236181,-200.21023554841494
0.907537688442211,116.23115577889448,-200.21590337227238
0.907537688442211,116.68341708542714,-200.22151367895344
0.907537688442211,117.1356783919598,-200.22705200845505
0.907537688442211,117.58793969849246,-200.2325039007738
0.907537688442211,118.04020100502512,-200.2378548959065
0.907537688442211,118.49246231155779,-200.24309053384994
0.907537688442211,118.94472361809045,-200.24819635460074
0.907537688442211,119.39698492462311,-200.25315789815568
0.907537688442211,119.84924623115577,-200.25796070451156
0.907537688442211,120.30150753768845,-200.26259132398746
0.907537688442211,120.7537688442211,-200.26704805189976
0.907537688442211,121.20603015075378,-200.2713367609825
0.907537688442211,121.65829145728644,-200.27546345026013
0.907537688442211,122.1105527638191,-200.27943411875694
0.907537688442211,122.56281407035176,-200.2832547654973
0.907537688442211,123.01507537688443,-200.2869313895056
0.907537688442211,123.46733668341709,-200.29046998980618
0.907537688442211,123.91959798994975,-200.29387656542332
0.907537688442211,124.37185929648241,-200.29715711538154
0.907537688442211,124.82412060301507,-200.30031763870502
0.907537688442211,125.27638190954774,-200.30336413441825
0.907537688442211,125.7286432160804,-200.30630260154558
0.907537688442211,126.18090452261308,-200.3091390391113
0.907537688442211,126.63316582914572,-200.31187944613978
0.907537688442211,127.0854271356784,-200.3145298216554
0.907537688442211,127.53768844221105,-200.31709616468257
0.907537688442211,127.98994974874373,-200.3195844742455
0.907537688442211,128.44221105527637,-200.3220007493686
0.907537688442211,128.89447236180905,-200.32435098907632
0.907537688442211,129.3467336683417,-200.326641192393
0.907537688442211,129.79899497487438,-200.32887735834285
0.907537688442211,130.25125628140705,-200.33106530917445
0.907537688442211,130.7035175879397,-200.3332076936536
0.907537688442211,131.15577889447235,-200.33530441556883
0.907537688442211,131.60804020100502,-200.33735528819926
0.907537688442211,132.0603015075377,-200.33936012482403
0.907537688442211,132.51256281407035,-200.34131873872252
0.907537688442211,132.96482412060303,-200.34323094317367
0.907537688442211,133.41708542713567,-200.34509655145683
0.907537688442211,133.86934673366835,-200.34691537685097
0.907537688442211,134.321608040201,-200.3486872326354
0.907537688442211,134.77386934673368,-200.35041193208943
0.907537688442211,135.22613065326632,-200.35208928849195
0.907537688442211,135.678391959799,-200.35371911512226
0.907537688442211,136.13065326633165,-200.3553012252595
0.907537688442211,136.58291457286433,-200.356835432183
0.907537688442211,137.035175879397,-200.3583215491717
0.907537688442211,137.48743718592965,-200.35975938950506
0.907537688442211,137.9396984924623,-200.36114876646195
0.907537688442211,138.39195979899498,-200.36248949332162
0.907537688442211,138.84422110552765,-200.3637813833634
0.907537688442211,139.2964824120603,-200.36502424986622
0.907537688442211,139.74874371859298,-200.3662179061095
0.907537688442211,140.20100502512562,-200.36736217377697
0.907537688442211,140.6532663316583,-200.36845712944984
0.907537688442211,141.10552763819095,-200.36950314439758
0.907537688442211,141.55778894472363,-200.3705006063049
0.907537688442211,142.01005025125627,-200.37144990285668
0.907537688442211,142.46231155778895,-200.37235142173768
0.907537688442211,142.9145728643216,-200.37320555063246
0.907537688442211,143.36683417085428,-200.3740126772261
0.907537688442211,143.81909547738695,-200.37477318920315
0.907537688442211,144.2713567839196,-200.37548747424853
0.907537688442211,144.72361809045225,-200.37615592004707
0.907537688442211,145.17587939698493,-200.37677891428336
