bond,angle,polynomial
0.907537688442211,91.80904522613065,-199.99840616056275
0.907537688442211,92.26130653266331,-200.00282087466826
0.907537688442211,92.71356783919597,-200.00723200015972
0.907537688442211,93.16582914572864,-200.01163893401605
0.907537688442211,93.61809045226131,-200.0160410789294
0.907537688442211,94.07035175879398,-200.0204378433052
0.907537688442211,94.52261306532664,-200.02482864126193
0.907537688442211,94.9748743718593,-200.0292128926315
0.907537688442211,95.42713567839196,-200.03359002295892
0.907537688442211,95.87939698492463,-200.03795946350238
0.907537688442211,96.33165829145729,-200.04232065123335
0.907537688442211,96.78391959798995,-200.04667302883655
0.907537688442211,97.23618090452261,-200.05101604470974
0.907537688442211,97.68844221105527,-200.05534915296408
0.907537688442211,98.14070351758794,-200.05967181342402
0.907537688442211,98.5929648241206,-200.06398349162683
0.907537688442211,99.04522613065326,-200.06828365882342
0.907537688442211,99.49748743718592,-200.07257179197777
0.907537688442211,99.9497487437186,-200.07684737376695
0.907537688442211,100.40201005025125,-200.08110989258142
0.907537688442211,100.85427135678393,-200.08535884252484
0.907537688442211,101.30653266331659,-200.08959372341383
0.907537688442211,101.75879396984925,-200.09381404077862
0.907537688442211,102.21105527638191,-200.09801930586244
0.907537688442211,102.66331658291458,-200.10220903562174
0.907537688442211,103.11557788944724,-200.10638275272606
0.907537688442211,103.5678391959799,-200.11053998555857
0.907537688442211,104.02010050251256,-200.11468026821518
0.907537688442211,104.47236180904522,-200.1188031405052
0.907537688442211,104.92462311557789,-200.12290814795142
0.907537688442211,105.37688442211055,-200.1269948417893
0.907537688442211,105.82914572864321,-200.131062778968
0.907537688442211,106.28140703517587,-200.1351115221496
0.907537688442211,106.73366834170855,-200.1391406397096
0.907537688442211,107.1859296482412,-200.14314970573662
0.907537688442211,107.63819095477388,-200.14713830003248
0.907537688442211,108.09045226130654,-200.15110600811215
0.907537688442211,108.5427135678392,-200.155052421204
0.907537688442211,108.99497487437186,-200.15897713624946
0.907537688442211,109.44723618090453,-200.1628797559033
0.907537688442211,109.89949748743719,-200.1667598885334
0.907537688442211,110.35175879396985,-200.17061714822086
0.907537688442211,110.80402010050251,-200.17445115476005
0.907537688442211,111.25628140703517,-200.1782615336585
0.907537688442211,111.70854271356784,-200.18204791613704
0.907537688442211,112.1608040201005,-200.18580993912954
0.907537688442211,112.61306532663316,-200.18954724528348
0.907537688442211,113.06532663316582,-200.19325948295895
0.907537688442211,113.5175879396985,-200.19694630622982
0.907537688442211,113.96984924623115,-200.20060737488282
0.907537688442211,114.42211055276383,-200.20424235441808
0.907537688442211,114.87437185929649,-200.2078509160489
0.907537688442211,115.32663316582915,-200.21143273670174
0.907537688442211,115.77889447236181,-200.2149874990163
0.907537688442211,116.23115577889448,-200.2185148913456
0.907537688442211,116.68341708542714,-200.22201460775563
0.907537688442211,117.1356783919598,-200.22548634802592
0.907537688442211,117.58793969849246,-200.22892981764898
0.907537688442211,118.04020100502512,-200.23234472783057
0.907537688442211,118.49246231155779,-200.23573079548967
0.907537688442211,118.94472361809045,-200.23908774325864
0.907537688442211,119.39698492462311,-200.2424152994828
0.907537688442211,119.84924623115577,-200.24571319822084
0.907537688442211,120.30150753768845,-200.24898117924468
0.907537688442211,120.7537688442211,-200.2522189880393
0.907537688442211,121.20603015075378,-200.25542637580307
0.907537688442211,121.65829145728644,-200.2586030994475
0.907537688442211,122.1105527638191,-200.26174892159727
0.907537688442211,122.56281407035176,-200.2648636105904
0.907537688442211,123.01507537688443,-200.26794694047808
0.907537688442211,123.46733668341709,-200.27099869102463
0.907537688442211,123.91959798994975,-200.2740186477076
0.907537688442211,124.37185929648241,-200.2770066017179
0.907537688442211,124.82412060301507,-200.27996234995945
0.907537688442211,125.27638190954774,-200.28288569504954
0.907537688442211,125.7286432160804,-200.28577644531862
0.907537688442211,126.18090452261308,-200.2886344148104
0.907537688442211,126.63316582914572,-200.2914594232817
0.907537688442211,127.0854271356784,-200.2942512962027
0.907537688442211,127.53768844221105,-200.2970098647566
0.907537688442211,127.98994974874373,-200.29973496584003
0.907537688442211,128.44221105527637,-200.30242644206277
0.907537688442211,128.89447236180905,-200.30508414174767
0.907537688442211,129.3467336683417,-200.307707918931
0.907537688442211,129.79899497487438,-200.31029763336204
0.907537688442211,130.25125628140705,-200.31285315050349
0.907537688442211,130.7035175879397,-200.31537434153122
0.907537688442211,131.15577889447235,-200.31786108333418
0.907537688442211,131.60804020100502,-200.3203132585146
0.907537688442211,132.0603015075377,-200.32273075538814
0.907537688442211,132.51256281407035,-200.32511346798321
0.907537688442211,132.96482412060303,-200.32746129604195
0.907537688442211,133.41708542713567,-200.32977414501937
0.907537688442211,133.86934673366835,-200.33205192608384
0.907537688442211,134.321608040201,-200.33429455611684
0.907537688442211,134.77386934673368,-200.33650195771318
0.907537688442211,135.22613065326632,-200.33867405918082
0.907537688442211,135.678391959799,-200.34081079454103
0.907537688442211,136.13065326633165,-200.3429121035281
0.907537688442211,136.58291457286433,-200.34497793158977
0.907537688442211,137.035175879397,-200.34700822988682
0.907537688442211,137.48743718592965,-200.34900295529332
0.907537688442211,137.9396984924623,-200.35096207039652
0.907537688442211,138.39195979899498,-200.35288554349694
0.907537688442211,138.84422110552765,-200.3547733486083
0.907537688442211,139.2964824120603,-200.35662546545743
0.907537688442211,139.74874371859298,-200.3584418794846
0.907537688442211,140.20100502512562,-200.36022258184295
0.907537688442211,140.6532663316583,-200.36196756939927
0.907537688442211,141.10552763819095,-200.36367684473316
0.907537688442211,141.55778894472363,-200.3653504161378
0.907537688442211,142.01005025125627,-200.36698829761926
0.907537688442211,142.46231155778895,-200.36859050889706
0.907537688442211,142.9145728643216,-200.37015707540374
0.907537688442211,143.36683417085428,-200.37168802828518
0.907537688442211,143.81909547738695,-200.37318340440046
0.907537688442211,144.2713567839196,-200.3746432463219
0.907537688442211,144.72361809045225,-200.37606760233504
0.907537688442211,145.17587939698493,-200.37745652643852
0.907537688442211,145.6281407035176,-200.37881007834432
0.907537688442211,146.08040201005025,-200.38012832347752
0.907537688442211,146.53266331658293,-200.38141133297663
0.907537688442211,146.98492462311557,-200.3826591836931
0.907537688442211,147.43718592964825,-200.38387195819172
0.907537688442211,147.8894472361809,-200.38504974475055
0.907537688442211,148.34170854271358,-200.3861926373608
0.907537688442211,148.79396984924622,-200.387300735727
0.907537688442211,149.2462311557789,-200.38837414526668
0.907537688442211,149.69849246231155,-200.38941297711077
0.907537688442211,150.15075376884423,-200.3904173481034
0.907537688442211,150.6030150753769,-200.39138738080175
0.907537688442211,151.05527638190955,-200.39232320347648
0.907537688442211,151.5075376884422,-200.3932249501112
0.907537688442211,151.95979899497488,-200.39409276040297
0.907537688442211,152.41206030150755,-200.39492677976187
0.907537688442211,152.8643216080402,-200.39572715931138
0.907537688442211,153.31658291457288,-200.396494055888
0.907537688442211,153.76884422110552,-200.39722763204156
0.907537688442211,154.2211055276382,-200.39792805603517
0.907537688442211,154.67336683417085,-200.3985955018449
0.907537688442211,155.12562814070353,-200.39923014916045
0.907537688442211,155.5778894472362,-200.39983218338432
0.907537688442211,156.03015075376885,-200.4004017956324
0.907537688442211,156.4824120603015,-200.40093918273382
0.907537688442211,156.93467336683418,-200.4014445472309
0.907537688442211,157.38693467336685,-200.40191809737925
0.907537688442211,157.8391959798995,-200.4023600471476
0.907537688442211,158.29145728643215,-200.40277061621782
0.907537688442211,158.74371859296483,-200.40315002998514
0.907537688442211,159.1959798994975,-200.40349851955796
0.907537688442211,159.64824120603015,-200.40381632175792
0.907537688442211,160.1005025125628,-200.40410367911986
0.907537688442211,160.55276381909547,-200.4043608398918
0.907537688442211,161.00502512562815,-200.40458805803493
0.907537688442211,161.4572864321608,-200.40478559322383
0.907537688442211,161.90954773869348,-200.40495371084614
0.907537688442211,162.36180904522615,-200.40509268200273
0.907537688442211,162.8140703517588,-200.40520278350778
0.907537688442211,163.26633165829145,-200.40528429788864
0.907537688442211,163.71859296482413,-200.4053375133858
0.907537688442211,164.1708542713568,-200.40536272395303
0.907537688442211,164.62311557788945,-200.4053602292574
0.907537688442211,165.0753768844221,-200.40533033467904
0.907537688442211,165.52763819095478,-200.4052733513113
0.907537688442211,165.97989949748745,-200.40518959596102
0.907537688442211,166.4321608040201,-200.40507939114778
0.907537688442211,166.88442211055275,-200.40494306510482
0.907537688442211,167.33668341708542,-200.40478095177832
0.907537688442211,167.7889447236181,-200.40459339082784
0.907537688442211,168.24120603015075,-200.404380727626
0.907537688442211,168.69346733668343,-200.40414331325883
0.907537688442211,169.1457286432161,-200.40388150452537
0.907537688442211,169.59798994974875,-200.40359566393812
0.907537688442211,170.0502512562814,-200.40328615972243
0.907537688442211,170.50251256281408,-200.40295336581724
0.907537688442211,170.95477386934675,-200.40259766187455
0.907537688442211,171.4070351758794,-200.4022194332595
0.907537688442211,171.85929648241205,-200.40181907105045
0.907537688442211,172.31155778894473,-200.40139697203927
0.907537688442211,172.7638190954774,-200.40095353873062
0.907537688442211,173.21608040201005,-200.40048917934263
0.907537688442211,173.6683417085427,-200.40000430780674
0.907537688442211,174.12060301507537,-200.39949934376727
0.907537688442211,174.57286432160805,-200.39897471258197
0.907537688442211,175.0251256281407,-200.3984308453218
0.907537688442211,175.47738693467338,-200.39786817877092
0.907537688442211,175.92964824120605,-200.3972871554267
0.907537688442211,176.3819095477387,-200.39668822349978
0.907537688442211,176.83417085427135,-200.39607183691385
0.907537688442211,177.28643216080403,-200.39543845530596
0.907537688442211,177.7386934673367,-200.39478854402637
0.907537688442211,178.19095477386935,-200.39412257413852
0.907537688442211,178.643216080402,-200.39344102241913
0.907537688442211,179.09547738693468,-200.3927443713579
0.907537688442211,179.54773869346735,-200.39203310915806
0.907537688442211,180.0,-200.39130772973596
0.9150753768844221,90.0,-200.04075288905904
0.9150753768844221,90.45226130653266,-200.0450496736895
0.9150753768844221,90.90452261306532,-200.04934594983266
0.9150753768844221,91.35678391959799,-200.05364109049395
0.9150753768844221,91.80904522613065,-200.05793447439234
0.9150753768844221,92.26130653266331,-200.06222548595989
0.9150753768844221,92.71356783919597,-200.06651351534174
0.9150753768844221,93.16582914572864,-200.07079795839638
0.9150753768844221,93.61809045226131,-200.07507821669566
0.9150753768844221,94.07035175879398,-200.0793536975243
0.9150753768844221,94.52261306532664,-200.08362381388056
0.9150753768844221,94.9748743718593,-200.08788798447577
0.9150753768844221,95.42713567839196,-200.09214563373445
