bond,angle,spline
0.9150753768844221,161.4572864321608,-15.364120573600822
0.9150753768844221,161.90954773869348,-15.364289406595393
0.9150753768844221,162.36180904522615,-15.364454087537778
0.9150753768844221,162.8140703517588,-15.364614615483095
0.9150753768844221,163.26633165829145,-15.364770989486455
0.9150753768844221,163.71859296482413,-15.364923208602963
0.9150753768844221,164.1708542713568,-15.36507127188774
0.9150753768844221,164.62311557788945,-15.365215178395877
0.9150753768844221,165.0753768844221,-15.365354927182493
0.9150753768844221,165.52763819095478,-15.365490517302712
0.9150753768844221,165.97989949748745,-15.365621947811627
0.9150753768844221,166.4321608040201,-15.365749217764364
0.9150753768844221,166.88442211055275,-15.365872326216014
0.9150753768844221,167.33668341708542,-15.365991272221704
0.9150753768844221,167.7889447236181,-15.36610605483654
0.9150753768844221,168.24120603015075,-15.366216673115632
0.9150753768844221,168.69346733668343,-15.366323126114084
0.9150753768844221,169.1457286432161,-15.366425412887017
0.9150753768844221,169.59798994974875,-15.366523532489532
0.9150753768844221,170.0502512562814,-15.366617483976748
0.9150753768844221,170.50251256281408,-15.366707266403772
0.9150753768844221,170.95477386934675,-15.366792878825713
0.9150753768844221,171.4070351758794,-15.366874320297685
0.9150753768844221,171.85929648241205,-15.366951589874787
0.9150753768844221,172.31155778894473,-15.367024686612144
0.9150753768844221,172.7638190954774,-15.36709360956486
