r_no,spline,linear
1.9035087719298245,-181.17603778375465,-181.17604400205087
1.907017543859649,-181.17598244112642,-181.17599431952993
1.9105263157894736,-181.17592764469285,-181.17594463700897
1.9140350877192982,-181.17587338245974,-181.17589495448803
1.9175438596491228,-181.17581964243283,-181.1758452719671
1.9210526315789473,-181.1757664126178,-181.17579558944615
1.924561403508772,-181.17571368102048,-181.17574590692521
1.9280701754385965,-181.17566143564665,-181.17569622440425
1.931578947368421,-181.17560966450196,-181.1756465418833
1.9350877192982456,-181.1755583555922,-181.17559685936237
1.9385964912280702,-181.1755074969231,-181.17554717684143
1.9421052631578948,-181.17545707650044,-181.1754974943205
1.9456140350877194,-181.17540708233,-181.17544781179953
1.949122807017544,-181.17535750241748,-181.1753981292786
1.9526315789473685,-181.17530832476862,-181.17534844675765
1.956140350877193,-181.17525953738922,-181.17529876423671
1.9596491228070176,-181.175211128285,-181.17524908171578
1.9631578947368422,-181.1751630854617,-181.17519939919484
1.9666666666666668,-181.17511539692507,-181.17514971667387
1.9701754385964914,-181.1750680506809,-181.17510003415293
1.9736842105263155,-181.1750210347349,-181.175050351632
1.97719298245614,-181.17497433709283,-181.17500066911106
1.9807017543859646,-181.17492794576046,-181.17495098659012
1.9842105263157892,-181.17488184874355,-181.17490130406915
1.9877192982456138,-181.17483603404776,-181.1748516215482
1.9912280701754383,-181.17479048967894,-181.17480193902728
1.994736842105263,-181.17474520364277,-181.17475225650634
1.9982456140350875,-181.1747001639451,-181.1747025739854
2.001754385964912,-181.17465535877045,-181.17465672672512
2.0052631578947366,-181.17461078041882,-181.17461471472552
2.008771929824561,-181.17456642530516,-181.17457270272592
2.012280701754386,-181.1745222900235,-181.17453069072633
2.0157894736842104,-181.1744783711678,-181.17448867872676
2.019298245614035,-181.174434665332,-181.17444666672716
2.0228070175438595,-181.1743911691101,-181.17440465472757
2.026315789473684,-181.17434787909608,-181.17436264272797
2.0298245614035086,-181.17430479188386,-181.17432063072837
2.033333333333333,-181.17426190406744,-181.17427861872878
2.036842105263158,-181.17421921224079,-181.17423660672918
2.0403508771929824,-181.17417671299788,-181.1741945947296
2.043859649122807,-181.17413440293268,-181.17415258273002
2.0473684210526315,-181.17409227863916,-181.17411057073042
2.050877192982456,-181.17405033671125,-181.17406855873082
2.0543859649122806,-181.17400857374298,-181.17402654673123
2.057894736842105,-181.1739669863283,-181.17398453473163
2.06140350877193,-181.1739255710612,-181.17394252273203
2.0649122807017544,-181.17388432453555,-181.17390051073247
2.068421052631579,-181.17384324334543,-181.17385849873287
2.0719298245614035,-181.1738023240848,-181.17381648673327
2.075438596491228,-181.17376156334757,-181.17377447473368
2.0789473684210527,-181.17372095772777,-181.17373246273408
2.0824561403508772,-181.1736805038193,-181.17369045073448
2.085964912280702,-181.17364019821616,-181.1736484387349
2.0894736842105264,-181.1736000375124,-181.17360642673532
2.092982456140351,-181.17356001830186,-181.17356441473572
2.0964912280701755,-181.1735201371786,-181.17352240273613
2.1,-181.17348039073653,-181.17348039073653
2.1035087719298247,-181.1734407760675,-181.1734425244385
2.1070175438596492,-181.17340129225454,-181.17340465814053
2.1105263157894734,-181.17336193887868,-181.1733667918425
2.114035087719298,-181.1733227155207,-181.17332892554452
2.1175438596491225,-181.17328362176164,-181.1732910592465
2.121052631578947,-181.17324465718238,-181.1732531929485
2.1245614035087717,-181.17320582136378,-181.1732153266505
2.1280701754385962,-181.17316711388688,-181.1731774603525
2.131578947368421,-181.1731285343326,-181.1731395940545
2.1350877192982454,-181.17309008228173,-181.1731017277565
2.13859649122807,-181.17305175731528,-181.17306386145847
2.1421052631578945,-181.17301355901418,-181.1730259951605
2.145614035087719,-181.17297548695933,-181.17298812886247
2.1491228070175437,-181.17293754073165,-181.17295026256448
2.1526315789473682,-181.1728997199121,-181.17291239626647
2.156140350877193,-181.17286202408155,-181.17287452996845
