r_nn,spline,linear
1.7471177944862153,-181.10550119797597,-181.10816744302514
1.750375939849624,-181.10496618405185,-181.10760163081835
1.7536340852130325,-181.1044534751981,-181.10703581861156
1.756892230576441,-181.10396206408754,-181.10647000640478
1.7601503759398494,-181.1034909433929,-181.105904194198
1.763408521303258,-181.10303910578705,-181.1053383819912
1.7666666666666666,-181.1026055439427,-181.10477256978442
1.7699248120300752,-181.10218925053266,-181.10420675757763
1.7731829573934836,-181.10178921822975,-181.10364094537084
1.776441102756892,-181.1014044397067,-181.10307513316405
1.7796992481203007,-181.10103390763635,-181.10250932095727
1.7829573934837093,-181.10067661469145,-181.10194350875048
1.7862155388471177,-181.1003315535448,-181.1013776965437
1.789473684210526,-181.09999771686918,-181.1008118843369
1.7927318295739347,-181.09967409733744,-181.10024607213012
1.7959899749373434,-181.09935968762227,-181.09968025992333
1.7992481203007518,-181.09905348039652,-181.09911444771654
1.8025062656641602,-181.09875453702136,-181.0988223738828
1.8057644110275688,-181.09846247983657,-181.09861242156097
1.8090225563909774,-181.09817720511134,-181.09840246923915
1.8122807017543858,-181.0978986109696,-181.0981925169173
1.8155388471177942,-181.09762659553502,-181.09798256459547
1.8187969924812029,-181.0973610569315,-181.09777261227362
1.8220551378446115,-181.09710189328285,-181.0975626599518
1.8253132832080199,-181.09684900271284,-181.09735270762997
1.8285714285714283,-181.0966022833454,-181.0971427553081
1.831829573934837,-181.09636163330424,-181.0969328029863
1.8350877192982455,-181.09612695071326,-181.09672285066446
1.8383458646616542,-181.0958981336962,-181.0965128983426
1.8416040100250626,-181.09567508037694,-181.09630294602078
1.844862155388471,-181.0954576888793,-181.09609299369893
1.8481203007518796,-181.0952458573271,-181.0958830413771
1.8513784461152882,-181.09503948384403,-181.09567308905528
1.8546365914786966,-181.0948384665541,-181.09546313673343
1.857894736842105,-181.09464270358106,-181.0952531844116
1.8611528822055137,-181.09445209304872,-181.09504323208975
1.8644110275689223,-181.09426653308083,-181.09483327976793
1.8676691729323307,-181.09408592180137,-181.0946233274461
1.870927318295739,-181.093910157334,-181.09441337512425
1.8741854636591477,-181.09373913780266,-181.09420342280242
1.8774436090225564,-181.09357276133105,-181.09399347048057
1.8807017543859648,-181.0934109260431,-181.09378351815874
1.8839598997493732,-181.09325353006258,-181.09357356583692
1.8872180451127818,-181.09310047151334,-181.09336361351507
1.8904761904761904,-181.09295164851912,-181.09315366119324
1.8937343358395988,-181.09280695920384,-181.09294370887142
1.8969924812030072,-181.09266630169125,-181.09273375654956
1.9002506265664159,-181.09252957410635,-181.0925330408283
1.9035087719298245,-181.09239667767673,-181.092443164314
1.906766917293233,-181.0922675234966,-181.0923532877997
1.9100250626566413,-181.09214202461663,-181.09226341128542
1.91328320802005,-181.09202009408773,-181.09217353477112
1.9165413533834585,-181.09190164496076,-181.09208365825683
1.9197994987468672,-181.09178659028646,-181.09199378174253
1.9230576441102754,-181.09167484311567,-181.09190390522824
1.926315789473684,-181.0915663164993,-181.09181402871394
1.9295739348370926,-181.09146092348809,-181.09172415219965
1.9328320802005012,-181.0913585771329,-181.09163427568535
1.9360902255639094,-181.09125919048452,-181.09154439917103
1.939348370927318,-181.09116267659377,-181.09145452265673
1.9426065162907267,-181.09106894851158,-181.09136464614244
1.9458646616541353,-181.09097791928863,-181.09127476962814
1.949122807017544,-181.09088950197582,-181.09118489311385
1.952380952380952,-181.09080360962403,-181.09109501659955
1.9556390977443607,-181.09072015528398,-181.09100514008526
1.9588972431077694,-181.0906390520065,-181.09091526357096
1.962155388471178,-181.09056021284252,-181.09082538705667
1.9654135338345862,-181.09048355084278,-181.09073551054237
1.9686716791979948,-181.0904089790581,-181.09064563402808
1.9719298245614034,-181.09033641053935,-181.09055575751378
1.975187969924812,-181.0902657583373,-181.0904658809995
1.9784461152882202,-181.09019693550283,-181.09037600448517
1.9817042606516289,-181.0901298550868,-181.09028612797087
1.9849624060150375,-181.09006443013988,-181.09019625145658
1.988220551378446,-181.090000573713,-181.09010637494228
1.9914786967418543,-181.08993819885706,-181.09001649842799
1.994736842105263,-181.08987721862275,-181.0899266219137
1.9979949874686715,-181.08981754606097,-181.0898367453994
2.00125313283208,-181.0897590948892,-181.08976489294642
