r_nn,r_no,spline
0.90678391959799,1.5417085427135673,-180.88755700109738
0.90678391959799,1.545477386934673,-180.88732700455142
0.90678391959799,1.5492462311557786,-180.887102523269
0.90678391959799,1.553015075376884,-180.8868835338913
0.90678391959799,1.5567839195979896,-180.8866700130599
0.90678391959799,1.560552763819095,-180.88646193741602
0.90678391959799,1.5643216080402005,-180.88625928360105
0.90678391959799,1.568090452261306,-180.8860620282563
0.90678391959799,1.5718592964824116,-180.88587014802317
0.90678391959799,1.5756281407035173,-180.885683619543
0.90678391959799,1.5793969849246228,-180.88550241945717
0.90678391959799,1.5831658291457282,-180.885326524407
0.90678391959799,1.5869346733668337,-180.88515591103382
0.90678391959799,1.5907035175879392,-180.88499055597907
0.90678391959799,1.5944723618090448,-180.884830435884
0.90678391959799,1.5982412060301503,-180.8846755273901
0.90678391959799,1.602010050251256,-180.88452580713854
0.90678391959799,1.6057788944723614,-180.8843812517708
0.90678391959799,1.609547738693467,-180.8842418379283
0.90678391959799,1.6133165829145724,-180.88410754225228
0.90678391959799,1.6170854271356778,-180.88397834138408
0.90678391959799,1.6208542713567835,-180.88385421196512
0.90678391959799,1.624623115577889,-180.88373513063678
0.90678391959799,1.6283919597989946,-180.8836210740402
0.90678391959799,1.6321608040201,-180.88351201881707
0.90678391959799,1.6359296482412056,-180.88340794160845
0.90678391959799,1.639698492462311,-180.8833088190559
0.90678391959799,1.6434673366834165,-180.8832146278006
0.90678391959799,1.6472361809045222,-180.88312534448414
0.90678391959799,1.6510050251256276,-180.88304094574755
0.90678391959799,1.6547738693467333,-180.88296140823255
0.90678391959799,1.6585427135678388,-180.88288670858023
0.90678391959799,1.6623115577889442,-180.88281682343208
0.90678391959799,1.6660804020100497,-180.88275172942926
0.90678391959799,1.6698492462311552,-180.88269140321333
0.90678391959799,1.6736180904522608,-180.88263582142565
0.90678391959799,1.6773869346733663,-180.88258496070742
0.90678391959799,1.681155778894472,-180.8825387977001
0.90678391959799,1.6849246231155774,-180.882497309045
0.90678391959799,1.688693467336683,-180.88246047138344
0.90678391959799,1.6924623115577884,-180.88242826135695
0.90678391959799,1.6962311557788938,-180.88240065560674
0.90678391959799,1.6999999999999995,-180.8823776307741
0.91356783919598,0.95,-180.68876154690994
0.91356783919598,0.9537688442211055,-180.6978610295672
0.91356783919598,0.957537688442211,-180.7067436252783
0.91356783919598,0.9613065326633166,-180.71541186337112
0.91356783919598,0.965075376884422,-180.72386827317322
0.91356783919598,0.9688442211055276,-180.7321153840128
0.91356783919598,0.9726130653266332,-180.74015572521728
0.91356783919598,0.9763819095477386,-180.74799182611483
0.91356783919598,0.9801507537688442,-180.75562621603282
0.91356783919598,0.9839195979899497,-180.7630614242995
0.91356783919598,0.9876884422110552,-180.77029998024247
0.91356783919598,0.9914572864321607,-180.77734441318952
0.91356783919598,0.9952261306532663,-180.78419725246846
0.91356783919598,0.9989949748743718,-180.79086102740717
0.91356783919598,1.0027638190954773,-180.79733826733346
0.91356783919598,1.0065326633165828,-180.803631501575
0.91356783919598,1.0103015075376884,-180.80974325945988
0.91356783919598,1.014070351758794,-180.81567607031556
0.91356783919598,1.0178391959798994,-180.82143246347013
0.91356783919598,1.0216080402010048,-180.82701496825123
0.91356783919598,1.0253768844221105,-180.83242611398677
0.91356783919598,1.029145728643216,-180.83766843000436
0.91356783919598,1.0329145728643214,-180.84274444563212
0.91356783919598,1.036683417085427,-180.84765669019762
0.91356783919598,1.0404522613065326,-180.85240769302882
0.91356783919598,1.044221105527638,-180.85699998345345
0.91356783919598,1.0479899497487437,-180.8614360907992
0.91356783919598,1.0517587939698492,-180.8657185443942
0.91356783919598,1.0555276381909546,-180.8698498735659
0.91356783919598,1.05929648241206,-180.8738326076423
0.91356783919598,1.0630653266331658,-180.8776692759512
0.91356783919598,1.0668341708542712,-180.88136240782046
0.91356783919598,1.0706030150753767,-180.88491453257774
0.91356783919598,1.0743718592964824,-180.88832817955097
0.91356783919598,1.0781407035175878,-180.89160587806776
0.91356783919598,1.0819095477386933,-180.8947501574563
0.91356783919598,1.085678391959799,-180.89776354704406
0.91356783919598,1.0894472361809044,-180.90064857615903
0.91356783919598,1.09321608040201,-180.9034077741288
0.91356783919598,1.0969849246231154,-180.90604367028138
0.91356783919598,1.100753768844221,-180.90855879394468
0.91356783919598,1.1045226130653265,-180.91095567444614
0.91356783919598,1.108291457286432,-180.91323684111384
0.91356783919598,1.1120603015075377,-180.91540482327562
0.91356783919598,1.1158291457286431,-180.9174621502592
0.91356783919598,1.1195979899497486,-180.91941135139228
0.91356783919598,1.123366834170854,-180.9212549560028
0.91356783919598,1.1271356783919597,-180.9229954934186
0.91356783919598,1.1309045226130652,-180.92463549296747
0.91356783919598,1.1346733668341706,-180.92617748397709
0.91356783919598,1.1384422110552763,-180.92762399577532
0.91356783919598,1.1422110552763818,-180.9289775576901
0.91356783919598,1.1459798994974872,-180.9302406990491
0.91356783919598,1.1497487437185927,-180.93141594918018
0.91356783919598,1.1535175879396984,-180.9325058374112
