oo,polynomial,linear
1.671679197994988,-148.77767741634835,-148.77753760243425
1.6766917293233088,-148.77706876943958,-148.77695901073213
1.6817042606516295,-148.7764610626125,-148.77638041903
1.6867167919799504,-148.7758554290627,-148.77580182732788
1.6917293233082713,-148.77525296166252,-148.77522323562576
1.696741854636592,-148.77465470274743,-148.77464464392366
1.7017543859649127,-148.77406163462823,-148.7740921520501
1.7067669172932338,-148.7734746709467,-148.77358813128666
1.7117794486215545,-148.77289464897513,-148.77308411052323
1.7167919799498752,-148.7723223229432,-148.7725800897598
1.7218045112781961,-148.77175835845952,-148.77207606899637
1.726817042606517,-148.7712033280766,-148.77157204823294
1.7318295739348377,-148.77065770803165,-148.7710680274695
1.7368421052631584,-148.77012187617802,-148.77056400670608
1.7418546365914793,-148.76959611110613,-148.77005998594265
1.7468671679198002,-148.76908059243627,-148.76955596517922
1.751879699248121,-148.76857540225149,-148.7690519444158
1.7568922305764416,-148.76808052762385,-148.76854792365236
1.7619047619047625,-148.76759586417543,-148.76804390288893
1.7669172932330834,-148.76712122060312,-148.7675398821255
1.7719298245614041,-148.76665632408606,-148.76703586136207
1.7769423558897248,-148.7662008264864,-148.76653184059865
1.7819548872180457,-148.76575431124544,-148.76602781983522
1.7869674185463666,-148.7653163008723,-148.7655237990718
1.7919799498746873,-148.76488626491744,-148.76501977830839
1.796992481203008,-148.76446362832016,-148.76451575754496
1.802005012531329,-148.7640477800187,-148.76405706459892
1.8070175438596499,-148.76363808171044,-148.763666363379
1.8120300751879705,-148.7632338766518,-148.7632756621591
1.8170426065162912,-148.76283449839042,-148.76288496093918
1.8220551378446121,-148.76243927932552,-148.76249425971926
1.827067669172933,-148.76204755899806,-148.76210355849935
1.8320802005012538,-148.76165869201859,-148.76171285727943
1.8370927318295747,-148.76127205554744,-148.76132215605952
1.8421052631578956,-148.76088705625037,-148.7609314548396
1.8471177944862163,-148.7605031366616,-148.7605407536197
1.852130325814537,-148.76011978089502,-148.76015005239978
1.8571428571428579,-148.75973651965444,-148.75975935117987
1.8621553884711788,-148.75935293450442,-148.75936864995995
1.8671679197994995,-148.7589686613723,-148.75897794874004
1.8721804511278202,-148.75858339326373,-148.75858724752013
1.877192982456141,-148.75819688218314,-148.7581965463002
1.882205513784462,-148.75780894026198,-148.7578058450803
1.8872180451127827,-148.7574194401062,-148.75741514386038
1.8922305764411034,-148.75702831438429,-148.75702444264047
1.8972431077694243,-148.75663555468682,-148.75663374142056
1.9022556390977452,-148.75624120969505,-148.75624295979665
1.907268170426066,-148.75584538270544,-148.75585207990122
1.9122807017543866,-148.75544822856287,-148.75546120000575
1.9172932330827075,-148.75504995006096,-148.75507032011032
1.9223057644110284,-148.75465079387425,-148.75467944021486
1.927318295739349,-148.7542510460894,-148.7542885603194
1.9323308270676698,-148.7538510274075,-148.75389768042396
1.9373433583959907,-148.75345108809034,-148.7535068005285
1.9423558897243116,-148.75305160272552,-148.75311592063306
1.9473684210526323,-148.75265296488527,-148.7527250407376
1.952380952380953,-148.75225558175282,-148.75233416084214
1.957393483709274,-148.7518598687893,-148.7519432809467
1.9624060150375948,-148.75146624450994,-148.75155240105124
1.9674185463659155,-148.75107512543724,-148.75116152115578
1.9724310776942364,-148.75068692129187,-148.75077064126035
1.9774436090225573,-148.75030203047933,-148.75037976136488
1.982456140350878,-148.74992083592346,-148.74998888146945
1.9874686716791987,-148.74954370129205,-148.749598001574
1.9924812030075196,-148.7491709676532,-148.74920712167852
1.9974937343358405,-148.74880295059373,-148.7488162417831
2.0025062656641612,-148.74843993782363,-148.74846853498613
2.007518796992482,-148.74808218728356,-148.7481640012877
2.0125313283208026,-148.74772992576308,-148.74785946758928
2.0175438596491233,-148.74738334803163,-148.74755493389085
2.0225563909774444,-148.74704261647514,-148.74725040019243
2.0275689223057656,-148.74670786122428,-148.746945866494
2.0325814536340863,-148.7463791807538,-148.74664133279558
2.037593984962407,-148.74605664292412,-148.74633679909715
2.0426065162907276,-148.74574028643238,-148.74603226539872
2.0476190476190483,-148.74543012263203,-148.7457277317003
2.052631578947369,-148.74512613767686,-148.74542319800184
2.05764411027569,-148.74482829494025,-148.74511866430342
2.062656641604011,-148.74453653765644,-148.744814130605
2.067669172932332,-148.74425079172877,-148.74450959690657
2.0726817042606527,-148.74397096864712,-148.74420506320814
2.0776942355889734,-148.743696968456,-148.74390052950972
2.082706766917294,-148.7434286827146,-148.7435959958113
2.0877192982456148,-148.74316599739078,-148.74329146211286
2.0927318295739354,-148.74290879563233,-148.74298692841444
2.0977443609022566,-148.74265696036232,-148.742682394716
2.1027568922305773,-148.74241037664683,-148.7424353801759
2.1077694235588984,-148.7421689337899,-148.7422354267653
2.112781954887219,-148.74193252711368,-148.7420354733547
