dihedral,polynomial,linear
66.3157894736842,-148.79259683532024,-148.79274025697686
66.76691729323308,-148.79265496918418,-148.7927862669642
67.21804511278195,-148.7927154421486,-148.7928322769516
67.66917293233082,-148.79277789709275,-148.792878286939
68.1203007518797,-148.79284193845152,-148.79292429692637
68.57142857142857,-148.79290713869014,-148.79297030691373
69.02255639097744,-148.7929730450638,-148.79301631690112
69.47368421052632,-148.7930391865674,-148.7930623268885
69.92481203007519,-148.79310508098234,-148.7931083368759
70.37593984962406,-148.79317024192832,-148.7931404216209
70.82706766917293,-148.79323418582982,-148.79316972131747
71.2781954887218,-148.79329643871148,-148.79319902101403
71.72932330827068,-148.79335654273928,-148.7932283207106
72.18045112781954,-148.7934140624305,-148.79325762040716
72.63157894736841,-148.79346859046015,-148.79328692010372
73.08270676691728,-148.7935197529983,-148.7933162198003
73.53383458646616,-148.79356721451924,-148.79334551949685
73.98496240601503,-148.79361068203096,-148.79337481919342
74.4360902255639,-148.79364990868072,-148.79340411888998
74.88721804511277,-148.79368469670067,-148.79343341858655
75.33834586466165,-148.79371489966576,-148.7934627182831
75.78947368421052,-148.79374042404424,-148.79349201797967
76.2406015037594,-148.79376123002945,-148.79352131767624
76.69172932330827,-148.79377733165043,-148.7935506173728
77.14285714285714,-148.79378879616667,-148.79357991706937
77.59398496240601,-148.79379574276012,-148.79360921676593
78.04511278195488,-148.79379834054666,-148.7936385164625
78.49624060150376,-148.79379680593496,-148.79366781615906
78.94736842105263,-148.79379139936944,-148.79369711585562
79.3984962406015,-148.79378242149951,-148.7937264155522
79.84962406015038,-148.79377020882393,-148.79375571524875
80.30075187969925,-148.79375512886483,-148.79375609565116
80.75187969924812,-148.79373757493062,-148.7937420164065
81.203007518797,-148.79371796053115,-148.79372793716186
81.65413533834587,-148.79369671351307,-148.7937138579172
82.10526315789473,-148.79367426998493,-148.79369977867256
82.5563909774436,-148.7936510681049,-148.7936856994279
83.00751879699247,-148.79362754180514,-148.79367162018323
83.45864661654134,-148.7936041145269,-148.7936575409386
83.90977443609022,-148.7935811930415,-148.79364346169393
84.36090225563909,-148.79355916143086,-148.7936293824493
84.81203007518796,-148.7935383752997,-148.79361530320463
85.26315789473684,-148.7935191562894,-148.79360122395997
85.71428571428571,-148.7935017869609,-148.79358714471533
86.16541353383458,-148.7934865061098,-148.79357306547067
86.61654135338345,-148.79347350457311,-148.79355898622603
87.06766917293233,-148.79346292158166,-148.79354490698137
87.5187969924812,-148.79345484170727,-148.7935308277367
87.96992481203007,-148.79344929244803,-148.79351674849207
88.42105263157895,-148.7934462424877,-148.7935026692474
88.87218045112782,-148.79344560065977,-148.79348859000277
89.32330827067669,-148.79344721563862,-148.7934745107581
89.77443609022556,-148.79345087637347,-148.79346043151344
90.22556390977444,-148.79345631327294,-148.79344418656595
90.67669172932331,-148.7934632001404,-148.79342577591558
91.12781954887218,-148.79347115685266,-148.79340736526524
91.57894736842104,-148.79347975276673,-148.7933889546149
92.03007518796991,-148.79348851083122,-148.79337054396453
92.48120300751879,-148.79349691237246,-148.7933521333142
92.93233082706766,-148.79350440251648,-148.79333372266385
93.38345864661653,-148.7935103962029,-148.79331531201348
93.8345864661654,-148.79351428473777,-148.79329690136314
94.28571428571428,-148.7935154428282,-148.7932784907128
94.73684210526315,-148.7935132360341,-148.79326008006242
95.18796992481202,-148.7935070285679,-148.79324166941208
95.6390977443609,-148.793496191368,-148.79322325876174
96.09022556390977,-148.79348011036797,-148.79320484811137
96.54135338345864,-148.79345819487855,-148.79318643746103
96.99248120300751,-148.79342988599944,-148.7931680268107
97.44360902255639,-148.79339466497268,-148.79314961616032
97.89473684210526,-148.79335206139064,-148.79313120550998
98.34586466165413,-148.79330166116964,-148.79311279485964
98.796992481203,-148.7932431142015,-148.79309438420927
99.24812030075188,-148.7931761415957,-148.79307597355893
99.69924812030075,-148.7931005424275,-148.7930575629086
100.15037593984962,-148.79301619990994,-148.79299882997213
100.6015037593985,-148.7929230869106,-148.7928594524635
101.05263157894737,-148.79282127074015,-148.79272007495484
101.50375939849623,-148.79271091714287,-148.7925806974462
101.9548872180451,-148.79259229342676,-148.79244131993755
102.40601503759397,-148.79246577067713,-148.7923019424289
102.85714285714285,-148.79233182500437,-148.7921625649203
103.30827067669172,-148.79219103778587,-148.79202318741164
103.75939849624059,-148.79204409486886,-148.791883809903
104.21052631578947,-148.7918917847117,-148.79174443239435
104.66165413533834,-148.79173499544945,-148.7916050548857
105.11278195488721,-148.79157471087998,-148.79146567737706
105.56390977443608,-148.79141200537697,-148.79132629986842
106.01503759398496,-148.79124803774613,-148.7911869223598
106.46616541353383,-148.79108404405227,-148.79104754485115
106.9172932330827,-148.7909213294544,-148.7909081673425
107.36842105263158,-148.7907612590972,-148.79076878983386
107.81954887218045,-148.79060524811737,-148.79062941232522
108.27067669172932,-148.7904547508333,-148.79049003481657
108.7218045112782,-148.79031124919632,-148.79035065730793
109.17293233082707,-148.7901762405914,-148.7902112797993
109.62406015037594,-148.79005122508326,-148.79007190229066
110.07518796992481,-148.78993769221296,-148.78997391738557
110.52631578947368,-148.78983710745666,-148.79008289549824
110.97744360902254,-148.78975089846534,-148.7901918736109
111.42857142857142,-148.78968044121004,-148.79030085172357
111.87969924812029,-148.78962704616177,-148.79040982983622
112.33082706766916,-148.7895919446392,-148.7905188079489
112.78195488721803,-148.78957627545975,-148.79062778606158
113.23308270676691,-148.78958107203144,-148.79073676417423
113.68421052631578,-148.78960725002267,-148.7908457422869
114.13533834586465,-148.78965559574647,-148.79095472039958
114.58646616541353,-148.7897267553934,-148.79106369851223
115.0375939849624,-148.789821225243,-148.7911726766249
115.48872180451127,-148.7899393429801,-148.7912816547376
115.93984962406014,-148.79008128023344,-148.79139063285024
116.39097744360902,-148.79024703644944,-148.79149961096292
116.84210526315789,-148.7904364342017,-148.7916085890756
117.29323308270676,-148.79064911602867,-148.79171756718824
117.74436090225564,-148.79088454287916,-148.79182654530092
118.19548872180451,-148.79114199423233,-148.79193552341357
118.64661654135338,-148.79142056994544,-148.79204450152625
119.09774436090225,-148.7917191938664,-148.79215347963893
119.54887218045113,-148.79203661923316,-148.79226245775158
120.0,-148.7923714358637,-148.79237143586425
120.45112781954886,-148.79272207912385,-148.79272364672462
