r_nn,polynomial,linear
2.115288220551378,-181.0775546168085,-181.08835393061523
2.1185463659147867,-181.07461898038167,-181.0883310615647
2.1218045112781954,-181.07148233492626,-181.08830819251418
2.125062656641604,-181.06815797286117,-181.08828532346365
2.128320802005012,-181.06466374773936,-181.08826245441313
2.131578947368421,-181.061022633924,-181.0882395853626
2.1348370927318294,-181.05726333125196,-181.08821671631208
2.138095238095238,-181.0534209173299,-181.08819384726155
2.1413533834586462,-181.04953755022666,-181.08817097821102
2.144611528822055,-181.0456632244459,-181.0881481091605
2.1478696741854635,-181.0418565831903,-181.08812524010997
2.151127819548872,-181.03818579005778,-181.08810237105942
2.1543859649122807,-181.03472946344397,-181.0880795020089
2.157644110275689,-181.0315776770649,-181.08805663295837
2.1609022556390975,-181.02883303015608,-181.08803376390784
2.164160401002506,-181.0266117910522,-181.08801089485732
2.167418546365915,-181.02504511800382,-181.0879880258068
2.170676691729323,-181.02428036124488,-181.08796515675627
2.1739348370927316,-181.02448245048726,-181.08794228770574
2.1771929824561402,-181.02583537218482,-181.08791941865522
2.180451127819549,-181.02854374108307,-181.0878965496047
2.183709273182957,-181.0328344707472,-181.08787368055414
2.1869674185463657,-181.03895854794462,-181.0878508115036
2.1902255639097743,-181.04719291594745,-181.0878279424531
2.193483709273183,-181.057842472013,-181.08780507340256
2.196741854636591,-181.0712421845023,-181.08778220435204
2.1999999999999997,-181.08775933530129,-181.0877593353015
