r_no,polynomial,linear
1.450877192982456,-181.21630968309543,-181.21755989606282
1.4543859649122806,-181.21539594432696,-181.2166433071726
1.4578947368421051,-181.21449502214142,-181.21572671828235
1.4614035087719297,-181.21360708056883,-181.2148101293921
1.4649122807017543,-181.21273226726169,-181.21389354050186
1.4684210526315788,-181.2118707138287,-181.21297695161164
1.4719298245614034,-181.21102253617573,-181.2120603627214
1.475438596491228,-181.21018783485422,-181.21114377383114
1.4789473684210526,-181.20936669541618,-181.2102271849409
1.4824561403508771,-181.20855918877555,-181.20931059605067
1.4859649122807017,-181.2077653715757,-181.20839400716042
1.4894736842105263,-181.20698528656223,-181.20747741827017
1.4929824561403509,-181.206218962961,-181.20656082937992
1.4964912280701754,-181.20546641686065,-181.2056442404897
1.5,-181.20472765159937,-181.20472765159946
1.5035087719298246,-181.20400265815547,-181.2041806458624
1.5070175438596491,-181.20329141554095,-181.20363364012536
1.5105263157894737,-181.20259389119815,-181.20308663438828
1.5140350877192983,-181.2019100413984,-181.20253962865124
1.5175438596491229,-181.20123981164278,-181.2019926229142
1.5210526315789474,-181.200583137064,-181.20144561717714
1.524561403508772,-181.19993994282927,-181.2008986114401
1.5280701754385966,-181.19931014454372,-181.20035160570302
1.5315789473684212,-181.19869364865335,-181.19980459996597
1.5350877192982457,-181.1980903528479,-181.19925759422892
1.5385964912280703,-181.1975001464625,-181.19871058849188
1.5421052631578946,-181.19692291087762,-181.19816358275483
1.5456140350877192,-181.1963585199177,-181.19761657701775
1.5491228070175438,-181.1958068402469,-181.1970695712807
1.5526315789473684,-181.19526773176204,-181.19652256554366
1.556140350877193,-181.19474104798277,-181.1959755598066
1.5596491228070175,-181.19422663643763,-181.19542855406957
1.563157894736842,-181.19372433904599,-181.19488154833252
1.5666666666666667,-181.19323399249595,-181.19433454259544
1.5701754385964912,-181.19275542861686,-181.1937875368584
1.5736842105263156,-181.19228847474693,-181.19324053112135
1.5771929824561401,-181.19183295409496,-181.1926935253843
1.5807017543859647,-181.19138868609625,-181.19214651964725
1.5842105263157893,-181.19095548676202,-181.19159951391018
1.5877192982456139,-181.19053316902242,-181.19105250817313
1.5912280701754384,-181.19012154306213,-181.19050550243608
1.594736842105263,-181.1897204166492,-181.18995849669903
1.5982456140350876,-181.1893295954559,-181.189411490962
1.6017543859649122,-181.18894888337192,-181.18900564261534
1.6052631578947367,-181.18857808280953,-181.18874095165913
1.6087719298245613,-181.18821699500026,-181.18847626070288
1.6122807017543859,-181.18786542028326,-181.18821156974667
1.6157894736842104,-181.18752315838466,-181.18794687879046
1.619298245614035,-181.1871900086882,-181.18768218783424
1.6228070175438596,-181.18686577049672,-181.18741749687803
1.6263157894736842,-181.18655024328444,-181.18715280592178
1.6298245614035087,-181.18624322693967,-181.18688811496557
1.6333333333333333,-181.18594452199844,-181.18662342400935
1.6368421052631579,-181.1856539298681,-181.18635873305314
1.6403508771929824,-181.18537125304164,-181.18609404209693
1.643859649122807,-181.18509629530203,-181.18582935114068
1.6473684210526316,-181.184828861917,-181.18556466018447
1.6508771929824562,-181.1845687598239,-181.18529996922825
1.6543859649122807,-181.18431579780489,-181.18503527827204
1.6578947368421053,-181.18406978665232,-181.18477058731582
1.6614035087719299,-181.18383053932433,-181.18450589635958
1.6649122807017545,-181.18359787109085,-181.18424120540337
1.668421052631579,-181.18337159966987,-181.18397651444715
1.6719298245614036,-181.1831515453542,-181.18371182349094
1.6754385964912282,-181.18293753112886,-181.1834471325347
1.6789473684210525,-181.18272938277894,-181.18318244157848
1.682456140350877,-181.18252692898844,-181.18291775062227
1.6859649122807017,-181.18233000142982,-181.18265305966605
1.6894736842105262,-181.1821384348449,-181.18238836870984
1.6929824561403508,-181.1819520671167,-181.1821236777536
1.6964912280701754,-181.18177073933293,-181.18185898679738
1.7,-181.18159429584108,-181.18159429584117
1.7035087719298245,-181.18142258429506,-181.18147051724338
1.707017543859649,-181.18125545569436,-181.18134673864557
1.7105263157894737,-181.18109276441504,-181.1812229600478
1.714035087719298,-181.1809343682335,-181.18109918145
1.7175438596491226,-181.18078012834283,-181.1809754028522
1.7210526315789472,-181.18062990936235,-181.18085162425442
1.7245614035087717,-181.18048357934026,-181.1807278456566
1.7280701754385963,-181.18034100974995,-181.18060406705882
1.7315789473684209,-181.1802020754801,-181.18048028846104
1.7350877192982455,-181.18006665481883,-181.18035650986323
1.73859649122807,-181.17993462943232,-181.18023273126545
1.7421052631578946,-181.17980588433818,-181.18010895266767
1.7456140350877192,-181.17968030787367,-181.17998517406986
1.7491228070175437,-181.1795577916592,-181.17986139547207
1.7526315789473683,-181.17943823055768,-181.17973761687426
1.756140350877193,-181.17932152262938,-181.17961383827648
1.7596491228070175,-181.17920756908333,-181.1794900596787
1.763157894736842,-181.17909627422492,-181.1793662810809
1.7666666666666666,-181.1789875454006,-181.1792425024831
1.7701754385964912,-181.17888129293934,-181.17911872388532
1.7736842105263158,-181.1787774300919,-181.1789949452875
1.7771929824561403,-181.1786758729674,-181.17887116668973
1.780701754385965,-181.17857654046801,-181.17874738809195
1.7842105263157895,-181.1784793542221,-181.17862360949414
1.787719298245614,-181.17838423851555,-181.17849983089636
1.7912280701754386,-181.1782911202222,-181.17837605229855
1.7947368421052632,-181.17819992873336,-181.17825227370076
