r_nn,r_no,polynomial
0.90678391959799,1.5907035175879392,-180.8810235379481
0.90678391959799,1.5944723618090448,-180.88118268425404
0.90678391959799,1.5982412060301503,-180.88136604148247
0.90678391959799,1.602010050251256,-180.88157349110742
0.90678391959799,1.6057788944723614,-180.88180489698786
0.90678391959799,1.609547738693467,-180.8820601053669
0.90678391959799,1.6133165829145724,-180.88233894487192
0.90678391959799,1.6170854271356778,-180.88264122651486
0.90678391959799,1.6208542713567835,-180.88296674369198
0.90678391959799,1.624623115577889,-180.88331527218375
0.90678391959799,1.6283919597989946,-180.88368657015522
0.90678391959799,1.6321608040201,-180.8840803781558
0.90678391959799,1.6359296482412056,-180.884496419119
0.90678391959799,1.639698492462311,-180.88493439836313
0.90678391959799,1.6434673366834165,-180.88539400359053
0.90678391959799,1.6472361809045222,-180.88587490488808
0.90678391959799,1.6510050251256276,-180.88637675472683
0.90678391959799,1.6547738693467333,-180.88689918796254
0.90678391959799,1.6585427135678388,-180.88744182183504
0.90678391959799,1.6623115577889442,-180.8880042559687
0.90678391959799,1.6660804020100497,-180.8885860723721
0.90678391959799,1.6698492462311552,-180.88918683543847
0.90678391959799,1.6736180904522608,-180.88980609194513
0.90678391959799,1.6773869346733663,-180.89044337105378
0.90678391959799,1.681155778894472,-180.89109818431075
0.90678391959799,1.6849246231155774,-180.89177002564654
0.90678391959799,1.688693467336683,-180.89245837137602
0.90678391959799,1.6924623115577884,-180.89316268019843
0.90678391959799,1.6962311557788938,-180.8938823931976
0.90678391959799,1.6999999999999995,-180.89461693384135
0.91356783919598,0.95,-180.68871725422102
0.91356783919598,0.9537688442211055,-180.69772578206656
0.91356783919598,0.957537688442211,-180.70652237665334
0.91356783919598,0.9613065326633166,-180.71510991455094
0.91356783919598,0.965075376884422,-180.72349125471348
0.91356783919598,0.9688442211055276,-180.7316692384792
0.91356783919598,0.9726130653266332,-180.73964668957083
0.91356783919598,0.9763819095477386,-180.74742641409554
0.91356783919598,0.9801507537688442,-180.75501120054466
0.91356783919598,0.9839195979899497,-180.76240381979414
0.91356783919598,0.9876884422110552,-180.76960702510422
0.91356783919598,0.9914572864321607,-180.77662355211933
0.91356783919598,0.9952261306532663,-180.78345611886857
0.91356783919598,0.9989949748743718,-180.79010742576526
0.91356783919598,1.0027638190954773,-180.79658015560693
0.91356783919598,1.0065326633165828,-180.80287697357585
0.91356783919598,1.0103015075376884,-180.80900052723837
0.91356783919598,1.014070351758794,-180.81495344654527
0.91356783919598,1.0178391959798994,-180.82073834383175
0.91356783919598,1.0216080402010048,-180.82635781381742
0.91356783919598,1.0253768844221105,-180.8318144336061
0.91356783919598,1.029145728643216,-180.83711076268617
0.91356783919598,1.0329145728643214,-180.84224934293022
0.91356783919598,1.036683417085427,-180.84723269859532
0.91356783919598,1.0404522613065326,-180.85206333632294
0.91356783919598,1.044221105527638,-180.85674374513877
0.91356783919598,1.0479899497487437,-180.86127639645304
0.91356783919598,1.0517587939698492,-180.8656637440602
0.91356783919598,1.0555276381909546,-180.86990822413912
0.91356783919598,1.05929648241206,-180.8740122552532
0.91356783919598,1.0630653266331658,-180.87797823834993
0.91356783919598,1.0668341708542712,-180.88180855676134
0.91356783919598,1.0706030150753767,-180.88550557620388
0.91356783919598,1.0743718592964824,-180.88907164477826
0.91356783919598,1.0781407035175878,-180.89250909296956
0.91356783919598,1.0819095477386933,-180.8958202336474
