dihedral,spline,linear
50.97744360902255,-148.7909180565236,-148.79088960125256
51.42857142857142,-148.79098887007748,-148.79094992704762
51.879699248120296,-148.79105809122115,-148.79101025284265
52.33082706766917,-148.7911257763998,-148.79107057863772
52.78195488721804,-148.7911919820586,-148.79113090443275
53.233082706766915,-148.7912567646427,-148.7911912302278
53.68421052631579,-148.7913201805973,-148.79125155602287
54.13533834586466,-148.79138228636754,-148.7913118818179
54.58646616541353,-148.79144313839856,-148.79137220761297
55.037593984962406,-148.79150279313555,-148.791432533408
55.48872180451127,-148.79156130702367,-148.79149285920306
55.939849624060145,-148.7916187365081,-148.7915531849981
56.39097744360902,-148.791675138034,-148.79161351079316
56.84210526315789,-148.79173056804652,-148.7916738365882
57.29323308270676,-148.79178508299086,-148.79173416238325
57.744360902255636,-148.7918387393121,-148.79179448817828
58.19548872180451,-148.7918915934555,-148.79185481397334
58.64661654135338,-148.79194370186616,-148.79191513976838
59.097744360902254,-148.7919951209893,-148.79197546556344
59.54887218045113,-148.79204590727002,-148.79203579135847
60.0,-148.79209611715353,-148.79209611715353
60.451127819548866,-148.7921458014065,-148.79214212714092
60.90225563909774,-148.79219498808138,-148.7921881371283
61.35338345864661,-148.79224369955236,-148.79223414711566
61.804511278195484,-148.7922919581934,-148.79228015710305
62.25563909774436,-148.79233978637853,-148.79232616709044
62.70676691729323,-148.7923872064819,-148.79237217707782
63.1578947368421,-148.79243424087744,-148.79241818706518
63.609022556390975,-148.7924809119393,-148.79246419705257
64.06015037593984,-148.79252724204142,-148.79251020703995
64.51127819548871,-148.79257325355795,-148.79255621702734
64.96240601503759,-148.79261896886288,-148.7926022270147
65.41353383458646,-148.79266441033022,-148.79264823700208
65.86466165413533,-148.79270960033412,-148.79269424698947
66.3157894736842,-148.79275456124853,-148.79274025697686
66.76691729323308,-148.79279931544752,-148.7927862669642
67.21804511278195,-148.7928438853052,-148.7928322769516
67.66917293233082,-148.79288829319557,-148.792878286939
68.1203007518797,-148.79293256149262,-148.79292429692637
68.57142857142857,-148.79297671257046,-148.79297030691373
69.02255639097744,-148.7930207688032,-148.79301631690112
69.47368421052632,-148.79306475256476,-148.7930623268885
69.92481203007519,-148.7931086862292,-148.7931083368759
70.37593984962406,-148.79315257311643,-148.7931404216209
70.82706766917293,-148.79319628987355,-148.79316972131747
71.2781954887218,-148.79323966147274,-148.79319902101403
71.72932330827068,-148.7932825127336,-148.7932283207106
72.18045112781954,-148.79332466847586,-148.79325762040716
72.63157894736841,-148.79336595351913,-148.79328692010372
73.08270676691728,-148.79340619268308,-148.7933162198003
73.53383458646616,-148.79344521078744,-148.79334551949685
73.98496240601503,-148.7934828326518,-148.79337481919342
74.4360902255639,-148.79351888309583,-148.79340411888998
74.88721804511277,-148.79355318693925,-148.79343341858655
75.33834586466165,-148.79358556900172,-148.7934627182831
75.78947368421052,-148.79361585410288,-148.79349201797967
76.2406015037594,-148.79364386706237,-148.79352131767624
76.69172932330827,-148.79366943269991,-148.7935506173728
77.14285714285714,-148.79369237583515,-148.79357991706937
77.59398496240601,-148.79371252128777,-148.79360921676593
78.04511278195488,-148.7937296938774,-148.7936385164625
78.49624060150376,-148.79374371842374,-148.79366781615906
78.94736842105263,-148.79375441974642,-148.79369711585562
79.3984962406015,-148.7937616226652,-148.7937264155522
79.84962406015038,-148.79376515199962,-148.79375571524875
80.30075187969925,-148.79376485863742,-148.79375609565116
80.75187969924812,-148.79376089650694,-148.7937420164065
81.203007518797,-148.7937536150467,-148.79372793716186
81.65413533834587,-148.7937433669536,-148.7937138579172
