oo,spline,linear
2.518796992481204,-148.73109906992516,-148.73109218657132
2.523809523809525,-148.73107492669897,-148.7310672237538
2.5288220551378457,-148.7310504317944,-148.73104226093625
2.533834586466167,-148.73102562491493,-148.73101729811873
2.5388471177944876,-148.73100054576395,-148.7309923353012
2.5438596491228083,-148.73097523404502,-148.7309673724837
2.548872180451129,-148.73094972946157,-148.73094240966617
2.5538847117794496,-148.73092407171703,-148.73091744684865
2.558897243107771,-148.73089830051492,-148.73089248403113
2.5639097744360915,-148.73087245555868,-148.7308675212136
2.5689223057644126,-148.73084657655178,-148.7308425583961
2.5739348370927333,-148.7308207031977,-148.73081759557857
2.578947368421054,-148.7307948751999,-148.73079263276102
2.5839598997493747,-148.73076913226183,-148.7307676699435
2.5889724310776954,-148.73074351408695,-148.73074270712598
2.593984962406016,-148.73071806037876,-148.73071774430846
2.598997493734337,-148.7306928108407,-148.73069278149094
2.604010025062658,-148.7306678037095,-148.73067092547234
2.609022556390979,-148.73064306638145,-148.73064984615348
2.6140350877192997,-148.73061862139406,-148.7306287668346
2.6190476190476204,-148.73059449126214,-148.73060768751574
2.624060150375941,-148.73057069850026,-148.7305866081969
2.629072681704262,-148.7305472656232,-148.730565528878
2.6340852130325825,-148.73052421514552,-148.73054444955915
2.6390977443609036,-148.730501569582,-148.7305233702403
2.6441102756892243,-148.7304793514473,-148.7305022909214
2.6491228070175454,-148.73045758325605,-148.73048121160255
2.654135338345866,-148.730436287523,-148.73046013228367
2.659147869674187,-148.73041548676278,-148.7304390529648
2.6641604010025075,-148.7303952034901,-148.73041797364596
2.669172932330828,-148.73037546021962,-148.73039689432707
2.6741854636591493,-148.73035627946604,-148.73037581500822
2.67919799498747,-148.73033768374398,-148.73035473568933
2.684210526315791,-148.73031969556823,-148.73033365637048
2.689223057644112,-148.73030233745337,-148.73031257705162
2.6942355889724325,-148.73028563191411,-148.73029149773274
2.6992481203007532,-148.73026960146515,-148.73027041841388
2.704260651629074,-148.7302542612662,-148.73025717437383
2.7092731829573946,-148.73023958006704,-148.73024531303003
2.7142857142857157,-148.73022550856464,-148.73023345168625
2.7192982456140364,-148.73021199741564,-148.73022159034247
2.7243107769423576,-148.73019899727652,-148.7302097289987
2.7293233082706783,-148.73018645880381,-148.73019786765488
2.734335839598999,-148.73017433265412,-148.7301860063111
2.7393483709273196,-148.73016256948392,-148.73017414496732
2.7443609022556403,-148.73015111994988,-148.7301622836235
2.749373433583961,-148.73013993470843,-148.73015042227973
2.754385964912282,-148.7301289644162,-148.73013856093596
2.759398496240603,-148.73011815972967,-148.73012669959218
2.764411027568924,-148.73010747130547,-148.73011483824837
2.7694235588972447,-148.7300968498001,-148.7301029769046
2.7744360902255654,-148.73008624587015,-148.7300911155608
2.779448621553886,-148.73007561017212,-148.730079254217
2.7844611528822067,-148.73006489336257,-148.73006739287322
2.7894736842105274,-148.7300540460981,-148.73005553152944
2.7944862155388486,-148.73004301903524,-148.73004367018567
2.7994987468671697,-148.7300317628305,-148.73003180884186
2.8045112781954904,-148.73002023927566,-148.73002033011275
2.809523809523811,-148.7300084703905,-148.7300088938964
2.814536340852132,-148.72999649846415,-148.72999745768004
2.8195488721804525,-148.72998436580107,-148.72998602146367
2.824561403508773,-148.7299721147057,-148.72997458524733
2.8295739348370943,-148.72995978748258,-148.72996314903097
2.834586466165415,-148.7299474264361,-148.7299517128146
2.839598997493736,-148.72993507387073,-148.72994027659823
2.844611528822057,-148.7299227720909,-148.7299288403819
2.8496240601503775,-148.72991056340118,-148.72991740416552
2.854636591478698,-148.72989849010588,-148.72990596794915
2.859649122807019,-148.72988659450957,-148.72989453173278
2.8646616541353396,-148.72987491891664,-148.72988309551644
2.8696741854636607,-148.72986350563156,-148.72987165930007
2.8746867167919814,-148.72985239695885,-148.7298602230837
2.8796992481203025,-148.72984163520286,-148.72984878686736
2.8847117794486232,-148.7298312626681,-148.729837350651
2.889724310776944,-148.7298213216591,-148.72982591443463
2.8947368421052646,-148.7298118544802,-148.72981447821826
2.8997493734335853,-148.72980290343594,-148.72980304200192
2.904761904761906,-148.72979451083071,-148.72980222969076
2.909774436090227,-148.72978671896905,-148.7298019765325
2.914786967418548,-148.72977957015536,-148.72980172337427
2.919799498746869,-148.7297731066941,-148.72980147021605
2.9248120300751896,-148.72976737088976,-148.7298012170578
2.9298245614035103,-148.72976240504678,-148.72980096389955
2.934837092731831,-148.7297582514696,-148.72980071074133
2.9398496240601517,-148.7297549524627,-148.72980045758308
2.944862155388473,-148.72975255033055,-148.72980020442483
2.9498746867167935,-148.7297510873776,-148.72979995126659
2.9548872180451147,-148.72975060590827,-148.72979969810837
2.9598997493734354,-148.72975114822705,-148.72979944495012
2.964912280701756,-148.7297527566384,-148.72979919179187
2.9699248120300767,-148.72975547344677,-148.72979893863362
